review_item_id,regulation,entity_type,entity_id,field,severity,question,option_1,source_1,option_2,source_2,decision,reviewer,review_date,notes
CF-2023-001,2023,COURSE,ASUx31,semester,HIGH,Which value is authoritative for ASUx31 / semester?,7,Bylaw 2023.pdf p.162,8,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-002,2023,COURSE,CSE241,semester,HIGH,Which value is authoritative for CSE241 / semester?,3,Bylaw 2023.pdf p.161,2,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-003,2023,COURSE,CSE242,semester,HIGH,Which value is authoritative for CSE242 / semester?,4,Bylaw 2023.pdf p.162,3,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-004,2023,COURSE,CSE281,semester,HIGH,Which value is authoritative for CSE281 / semester?,3,Bylaw 2023.pdf p.161,4,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-005,2023,COURSE,CSE342,semester,HIGH,Which value is authoritative for CSE342 / semester?,5,Bylaw 2023.pdf p.162,6,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-006,2023,COURSE,CSE381,semester,HIGH,Which value is authoritative for CSE381 / semester?,6,Bylaw 2023.pdf p.162,5,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-007,2023,COURSE,CSE392,semester,HIGH,Which value is authoritative for CSE392 / semester?,6,Bylaw 2023.pdf p.162,7,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-008,2023,COURSE,CSE392,course_name,HIGH,Which value is authoritative for CSE392 / course_name?,CAIE Graduation Project (1),Bylaw 2023.pdf p.162,CAIE Graduation Project Survey,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-009,2023,COURSE,CSE421,semester,HIGH,Which value is authoritative for CSE421 / semester?,8,Bylaw 2023.pdf p.162,7,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-010,2023,COURSE,CSE442,semester,HIGH,Which value is authoritative for CSE442 / semester?,7,Bylaw 2023.pdf p.162,8,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-011,2023,COURSE,CSE481,semester,HIGH,Which value is authoritative for CSE481 / semester?,7,Bylaw 2023.pdf p.162,6,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-012,2023,COURSE,CSE481,prerequisites,HIGH,Which value is authoritative for CSE481 / prerequisites?,ECE261,Bylaw 2023.pdf p.162,,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-013,2023,COURSE,CSE493,course_name,HIGH,Which value is authoritative for CSE493 / course_name?,CAIE Graduation Project (2),Bylaw 2023.pdf p.162,CAIE Graduation Project (1),23P - CAIE - course tree.pdf p.1,,,,
CF-2023-014,2023,COURSE,CSE493,prerequisites,HIGH,Which value is authoritative for CSE493 / prerequisites?,CSE392,Bylaw 2023.pdf p.162,CSE392 or concurrent,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-015,2023,COURSE,CSE494,course_name,HIGH,Which value is authoritative for CSE494 / course_name?,CAIE Graduation Project (3),Bylaw 2023.pdf p.162,CAIE Graduation Project (2),23P - CAIE - course tree.pdf p.1,,,,
CF-2023-016,2023,COURSE,EPM111,semester,HIGH,Which value is authoritative for EPM111 / semester?,5,Bylaw 2023.pdf p.162,6,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-017,2023,COURSE,PHM132,semester,HIGH,Which value is authoritative for PHM132 / semester?,2,Bylaw 2023.pdf p.161,3,23P - CAIE - course tree.pdf p.1,,,,
CF-2023-018,2023,PROGRAM_REQUIREMENT,CAIE_TECHNICAL_ELECTIVES,required_credit_hours,CRITICAL,Which value is authoritative for CAIE_TECHNICAL_ELECTIVES / required_credit_hours?,18 CH for seven technical electives,Bylaw 2023 Brief-ICHEP.pdf p.81,Seven elective slots × 3 CH = 21 CH (also supported by 23P course tree page 1),Bylaw 2023 Brief-ICHEP.pdf p.84,,,,
CF-2023-019,2023,COURSE,CSE486,prerequisites,CRITICAL,Which value is authoritative for CSE486 / prerequisites?,PHM113 AND ... / incomplete after AND,Bylaw 2023.pdf p.607,Second prerequisite not present in supplied source,Bylaw 2023.pdf p.607,,,,
CF-2018-001,2018,ACADEMIC_RULE,R18-006,level_boundary_ranges,HIGH,Which value is authoritative for R18-006 / level_boundary_ranges?,Text: progress to a higher level whenever 20% of graduation requirements is completed,CESS New Bylaw 2018.pdf p.4,Displayed level table leaves exact boundary values 34/68/102/136 CH unclear,CESS New Bylaw 2018.pdf p.4,,,,
